Variable,Unit,Definition
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC32,kt HFC23/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC43-10,kt HFC23/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|N2O,kt N2O/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|NH3,Mt NH3/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|NOx,Mt NO2/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|OC,Mt OC/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|PFC,kt CF4/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|SF6,kt SF6/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|Sulfur,Mt SO2/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|VOC,Mt VOC/yr,
Diagnostics|MAGICC6|Temperature|Global Mean,°C,
Direct Risk|Asset Loss,billion US$2010/yr OR local currency/yr,"The risk of asset losses expressed in terms of their probability of
occurrence and destruction in monetary terms is modelled as a function of hazard
(frequency and intensity), the elements exposed to those hazards and their physical
sensitivity."
Efficiency|Electricity|Biomass|w/ CCS|1,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new biomass power plant with CCS. If more than one CCS biomass power technology is modelled, modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented CCS biomass power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Biomass|w/ CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Biomass|w/o CCS|1,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented biomass power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Biomass|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Biomass|w/o CCS|2,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented biomass power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Biomass|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Coal|w/ CCS|1,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented CCS coal power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/ CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Coal|w/ CCS|2,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented CCS coal power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/ CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Coal|w/o CCS|1,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented coal power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Coal|w/o CCS|2,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented coal power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Coal|w/o CCS|3,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented coal power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Coal|w/o CCS|4,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented coal power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Gas|w/ CCS|1,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant with CCS. If more than one CCS gas power technology is modelled, modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented CCS gas power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/ CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Gas|w/o CCS|1,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented gas power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Gas|w/o CCS|2,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented gas power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Efficiency|Electricity|Gas|w/o CCS|3,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report Conversion efficiency (electricity produced per unit of primary energy input)s for each represented gas power technology by adding variables Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/o CCS|2, ... Conversion efficiency (electricity produced per unit of primary energy input)|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
